"","Country.code","Year","Region.code","Agriculture","Mining","Manufacturing","Utilities","Construction","Trade..restaurants.and.hotels","Transport..storage.and.communication","Finance..insurance..real.estate.and.business.services","Government.services","Community..social.and.personal.services","Summation.of.sector.GDP"
"354","CHN",2002,"ASI",1.6862677245897,19.9529975200347,14.9070042665445,41.3636765731181,5.20782008452224,8.19496644790813,15.322716068304,40.3915162227273,10.8564883499216,1.19496490063896,5.86253611323859
"355","CHN",2003,"ASI",1.78303803613872,22.8125618692305,16.5940629140533,44.5687919628802,6.16822850843061,8.77656050241748,16.0016023851655,43.6139694022526,11.9785865757984,1.31923711249372,6.53013902195975
"356","CHN",2004,"ASI",2.19347448370143,30.9457611880824,16.4372438678221,57.9088296635588,7.31971959619052,8.91936675675892,17.2147124822911,45.2011537848571,12.8206044876146,1.41279071504176,7.33642022739596
"357","CHN",2005,"ASI",2.37620292905096,35.8101314884402,17.7723775097614,67.1967127465011,8.57599517217675,9.67948243360406,19.1906374006915,50.3914572495718,14.6326215456055,1.61249230701847,8.37677085906414
"358","CHN",2006,"ASI",2.64569566134664,39.1130406111261,20.2368223378995,57.4146670001157,9.46810011593985,10.9422391185423,21.2115647905466,60.2670161146536,16.36704095185,1.80362210337928,9.65525298009603
"359","CHN",2007,"ASI",3.11828332532849,42.4165040555939,21.9122201967693,66.1615204909823,10.29815302607,12.8044927394274,23.7969247219402,78.4255233185078,18.2647819345636,2.17731792879081,11.1995830751402
"360","CHN",2008,"ASI",3.5650871250237,46.9271551800208,24.0233534642825,74.7922139599774,11.6097081779742,14.5854142071308,25.0140699123216,86.4768702197741,20.0103644462255,2.38544364793404,12.5379202483897
"361","CHN",2009,"ASI",3.89403506057377,47.9296601605217,24.5360436029804,76.3793768315706,13.6485396601419,15.7159813012116,26.023282080922,97.7221413277001,21.6340281746351,2.57902604077828,13.555589585433
"362","CHN",2010,"ASI",4.38674047911655,54.4206214534329,27.3592659750305,89.037945175269,13.6604931772877,17.9779039586345,28.4224773596364,101.716925278816,22.9974241542742,2.69144700416907,15.0731332563441
"363","CHN",2011,"ASI",5.09365366010976,63.571650253113,30.9400120161671,104.999731489712,13.0380917890078,17.8340011055594,30.0328585427366,113.779500441469,25.8909825278149,3.02341345185783,16.6722585960548
"405","COL",1990,"LAM",8.22024801504648,76.1451128225576,25.0874101493439,103.719598379332,17.3548850681248,11.911797382531,20.3476304476664,46.4417686650738,NA,14.1732164326924,17.0205535010509
"406","COL",1991,"LAM",7.26001589767135,66.3496197979558,22.7624629128636,114.812691113502,19.5382295942195,10.1943703711886,25.8702705650756,32.934692172181,NA,10.0655458655378,14.6869685479549
